Period,Org Code,Parent Org,Org name,A&E attendances Type 1,A&E attendances Type 2,A&E attendances Other A&E Department,A&E attendances Booked Appointments Type 1,A&E attendances Booked Appointments Type 2,A&E attendances Booked Appointments Other Department,Attendances over 4hrs Type 1,Attendances over 4hrs Type 2,Attendances over 4hrs Other Department,Attendances over 4hrs Booked Appointments Type 1,Attendances over 4hrs Booked Appointments Type 2,Attendances over 4hrs Booked Appointments Other Department,Patients who have waited 4-12 hs from DTA to admission,Patients who have waited 12+ hrs from DTA to admission,Emergency admissions via A&E - Type 1,Emergency admissions via A&E - Type 2,Emergency admissions via A&E - Other A&E department,Other emergency admissions
MSitAE-JULY-2026,RR8,NHS ENGLAND NORTH EAST AND YORKSHIRE ,LEEDS TEACHING HOSPITALS NHS TRUST,19452,782,10061,65,0,418,7342,0,133,27,0,0,1536,581,3757,0,0,1119
MSitAE-JULY-2026,RTD,NHS ENGLAND NORTH EAST AND YORKSHIRE ,THE NEWCASTLE UPON TYNE HOSPITALS NHS FOUNDATION TRUST,12057,1878,8405,0,0,1300,5080,129,135,0,0,0,436,3,3787,23,0,3206
MSitAE-JULY-2026,RWH,NHS ENGLAND EAST OF ENGLAND ,EAST AND NORTH HERTFORDSHIRE TEACHING NHS TRUST,9252,0,8993,0,0,0,4195,0,118,0,0,0,448,206,2335,0,2,337
MSitAE-JULY-2026,RXQ,NHS ENGLAND SOUTH EAST ,BUCKINGHAMSHIRE HEALTHCARE NHS TRUST,9922,1477,3157,0,0,0,3515,0,130,0,0,0,224,194,4090,1096,0,1477
MSitAE-JULY-2026,RY4,NHS ENGLAND EAST OF ENGLAND ,HERTFORDSHIRE COMMUNITY NHS TRUST,0,0,1342,0,0,0,0,0,124,0,0,0,0,0,0,0,0,0
MSitAE-JULY-2026,RYJ,NHS ENGLAND LONDON,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,12485,4383,7793,0,0,592,5082,188,436,0,0,0,582,0,3810,0,0,1070
MSitAE-JULY-2026,RAE,NHS ENGLAND NORTH EAST AND YORKSHIRE ,BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST,9350,1046,3873,0,0,0,2702,0,7,0,0,0,713,143,2619,0,10,1304
MSitAE-JULY-2026,RHU,NHS ENGLAND SOUTH EAST ,PORTSMOUTH HOSPITALS UNIVERSITY NHS TRUST,11634,1217,4001,1881,0,707,4480,13,18,640,0,12,713,1191,3195,0,0,2655
MSitAE-JULY-2026,RJ7,NHS ENGLAND LONDON,ST GEORGE'S UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,9282,0,4163,431,0,0,2627,0,165,76,0,0,448,341,1910,0,0,546
MSitAE-JULY-2026,RM1,NHS ENGLAND EAST OF ENGLAND ,NORFOLK AND NORWICH UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,14121,0,8148,0,0,0,3939,0,16,0,0,0,768,186,2398,0,0,1623
